OrderNo,ItemID,SalesDate,DeliveryDate,CustomerId,CityId,Qty,Price,Cost,DiscountPercent
28874,26,9/30/2020,10/9/2020,2243,17,1,83,66,14
29681,27,9/30/2020,10/9/2020,6060,1,1,83,70,27
29912,27,9/30/2020,10/3/2020,5468,85,2,65,52,38
20363,15,9/29/2020,10/6/2020,3342,16,1,53,45,27
20665,40,9/29/2020,10/5/2020,5749,96,1,753,301,18
20809,46,9/29/2020,10/6/2020,6457,60,2,100,84,15
20876,32,9/29/2020,10/3/2020,1224,22,1,83,66,27
21215,16,9/29/2020,10/8/2020,4603,19,2,83,66,45
21378,35,9/29/2020,10/5/2020,5310,83,1,83,66,35
22042,27,9/29/2020,10/2/2020,4825,88,2,67,53,2
22194,48,9/29/2020,10/2/2020,3906,37,2,753,301,32
22728,11,9/29/2020,10/4/2020,1845,25,2,73,36,17
23083,49,9/29/2020,9/29/2020,6137,96,2,67,46,13
24119,26,9/29/2020,10/6/2020,5912,33,2,83,66,42
25003,44,9/29/2020,9/30/2020,4215,8,1,73,36,35
28233,33,9/29/2020,10/2/2020,3876,92,2,65,52,19
28531,55,9/29/2020,10/4/2020,3138,33,2,200,140,12
28565,17,9/29/2020,10/1/2020,1589,75,2,73,36,23
29063,15,9/29/2020,9/29/2020,1621,62,1,92,64,35
29473,35,9/29/2020,10/1/2020,3924,23,1,67,40,45
29844,47,9/29/2020,10/6/2020,3757,42,1,67,40,6
20160,49,9/28/2020,10/3/2020,5610,50,1,200,140,17
20496,42,9/28/2020,10/6/2020,4199,15,1,83,66,26
20959,51,9/28/2020,10/5/2020,1511,43,1,92,64,12
21139,12,9/28/2020,10/2/2020,4204,28,2,73,36,38
21851,46,9/28/2020,10/6/2020,6109,10,2,50,40,36
22089,40,9/28/2020,9/30/2020,2547,38,2,67,53,29
23514,16,9/28/2020,10/7/2020,3235,65,2,83,70,12
26446,39,9/28/2020,9/29/2020,4530,17,2,67,53,14
27110,48,9/28/2020,10/3/2020,2144,47,1,100,84,13
28708,50,9/28/2020,10/2/2020,2786,43,2,83,70,17
21212,22,9/27/2020,10/1/2020,6248,92,2,200,140,28
21386,44,9/27/2020,9/27/2020,2843,37,1,91,77,38
23002,34,9/27/2020,9/30/2020,2281,37,1,100,83,18
23130,11,9/27/2020,10/5/2020,1757,32,2,65,52,7
23282,45,9/27/2020,9/29/2020,6445,81,2,65,52,3
23309,48,9/27/2020,10/5/2020,4971,6,1,200,140,23
23392,15,9/27/2020,10/5/2020,6318,27,1,100,84,43
23567,13,9/27/2020,10/5/2020,2809,56,2,97,67,28
24049,47,9/27/2020,9/28/2020,5358,77,2,47,39,42
25439,53,9/27/2020,10/6/2020,96,12,2,92,64,9
25751,16,9/27/2020,10/4/2020,722,11,2,753,301,40
28109,16,9/27/2020,9/29/2020,108,5,1,92,64,11
28686,53,9/27/2020,10/2/2020,3981,75,2,67,46,32
20458,27,9/26/2020,10/3/2020,746,4,1,73,36,14
21196,43,9/26/2020,10/6/2020,3796,34,2,50,40,42
21808,32,9/26/2020,10/4/2020,1121,71,2,92,36,25
22389,47,9/26/2020,9/27/2020,4313,81,1,40,36,27
22623,22,9/26/2020,9/27/2020,2929,25,1,92,36,2
23434,30,9/26/2020,9/27/2020,3341,81,1,67,53,1
23755,25,9/26/2020,10/2/2020,4741,47,1,47,39,38
24203,22,9/26/2020,9/28/2020,5041,50,2,93,65,4
25514,39,9/26/2020,10/5/2020,3986,54,1,333,259,41
26152,16,9/26/2020,9/27/2020,5489,93,2,83,53,28
26255,50,9/26/2020,9/30/2020,6293,80,1,91,77,29
26486,49,9/26/2020,10/4/2020,3958,72,1,53,45,20
27437,12,9/26/2020,10/6/2020,5553,12,1,233,172,16
29904,40,9/26/2020,9/29/2020,2660,25,2,200,140,36
20244,51,9/25/2020,10/1/2020,2241,31,2,73,36,17
20465,35,9/25/2020,9/26/2020,3905,24,1,83,70,7
21698,12,9/25/2020,10/3/2020,3692,93,1,40,38,2
22104,29,9/25/2020,9/30/2020,5692,77,1,97,67,41
22392,24,9/25/2020,9/29/2020,4361,62,1,97,67,34
22895,32,9/25/2020,9/30/2020,5966,83,2,100,78,32
23766,14,9/25/2020,10/5/2020,2118,34,2,267,202,16
23905,44,9/25/2020,9/28/2020,397,62,2,65,52,27
24291,29,9/25/2020,10/2/2020,1375,52,2,100,84,17
24733,47,9/25/2020,10/4/2020,247,25,1,93,65,25
24830,26,9/25/2020,10/3/2020,72,55,1,267,202,29
25173,18,9/25/2020,10/2/2020,3479,100,1,100,78,25
25183,49,9/25/2020,10/2/2020,2484,39,1,233,172,15
25661,22,9/25/2020,9/25/2020,1707,79,1,233,172,12
26673,24,9/25/2020,9/25/2020,871,87,2,233,172,13
28040,32,9/25/2020,10/3/2020,3344,80,2,92,64,7
29482,53,9/25/2020,10/3/2020,3850,52,1,73,36,12
20661,16,9/24/2020,9/26/2020,4504,38,2,83,70,9
21659,11,9/24/2020,10/1/2020,5739,41,1,753,301,9
22461,49,9/24/2020,9/27/2020,4464,85,2,97,67,3
22494,36,9/24/2020,9/28/2020,3330,96,2,67,46,34
24154,27,9/24/2020,9/28/2020,3008,8,2,67,46,7
24232,48,9/24/2020,9/28/2020,3361,61,1,333,259,37
24921,39,9/24/2020,9/24/2020,3675,73,1,100,78,30
25946,45,9/24/2020,9/27/2020,17,8,2,753,301,13
26310,43,9/24/2020,9/25/2020,2033,49,2,92,36,16
26350,15,9/24/2020,9/26/2020,2378,30,2,40,38,43
27273,53,9/24/2020,9/29/2020,4419,15,1,233,172,43
27464,45,9/24/2020,9/30/2020,6472,81,1,333,259,17
27689,55,9/24/2020,9/29/2020,2088,4,1,83,70,25
29139,37,9/24/2020,10/2/2020,6303,19,2,233,172,39
29835,17,9/24/2020,9/26/2020,3968,63,2,67,53,26
20435,52,9/23/2020,9/23/2020,1625,68,1,83,70,27
20563,30,9/23/2020,10/2/2020,5789,75,1,100,84,34
21931,54,9/23/2020,10/3/2020,5853,48,1,753,301,37
22841,33,9/23/2020,9/28/2020,2102,22,1,67,40,4
23631,17,9/23/2020,9/24/2020,465,22,2,73,36,27
24105,34,9/23/2020,9/23/2020,2599,32,1,47,39,17
24508,28,9/23/2020,9/28/2020,1537,47,2,333,259,4
25418,13,9/23/2020,10/2/2020,533,67,1,67,53,14
26228,14,9/23/2020,9/29/2020,5397,50,1,60,54,34
28108,55,9/23/2020,9/27/2020,3370,23,2,83,70,41
28131,33,9/23/2020,9/23/2020,3706,76,1,65,52,5
28489,22,9/23/2020,9/25/2020,6028,30,1,52,36,3
29033,49,9/23/2020,9/28/2020,3229,42,1,91,77,12
29553,34,9/23/2020,10/1/2020,2035,22,1,67,53,35
21288,11,9/22/2020,9/27/2020,935,27,2,83,53,30
22249,34,9/22/2020,9/27/2020,2207,28,1,52,36,39
22550,35,9/22/2020,9/30/2020,5706,72,1,200,140,41
23347,17,9/22/2020,9/28/2020,6261,77,2,92,36,44
23724,33,9/22/2020,10/1/2020,4016,5,1,83,53,41
23964,17,9/22/2020,9/27/2020,4306,67,2,753,301,1
24124,36,9/22/2020,9/29/2020,1791,100,1,267,202,42
24743,23,9/22/2020,9/29/2020,388,3,1,333,259,11
24894,41,9/22/2020,9/27/2020,3506,33,1,93,65,25
26200,21,9/22/2020,9/23/2020,3285,73,1,100,84,2
27225,12,9/22/2020,9/28/2020,2347,8,1,100,83,39
27381,34,9/22/2020,9/27/2020,730,57,1,67,40,43
27483,36,9/22/2020,9/24/2020,380,6,2,333,259,23
27853,49,9/22/2020,9/24/2020,3627,21,2,100,78,15
28037,53,9/22/2020,9/30/2020,2562,32,2,60,54,5
28331,50,9/22/2020,9/28/2020,5064,31,1,97,67,27
28656,17,9/22/2020,10/1/2020,1645,65,1,97,67,31
29016,31,9/22/2020,10/2/2020,4497,36,1,47,39,24
29305,28,9/22/2020,9/27/2020,2895,39,1,200,140,23
21120,44,9/21/2020,9/28/2020,740,18,2,753,301,4
21218,31,9/21/2020,9/29/2020,1048,87,1,67,46,24
21583,12,9/21/2020,9/28/2020,5432,25,1,83,66,28
23089,38,9/21/2020,9/28/2020,6260,3,2,47,39,5
23413,32,9/21/2020,9/24/2020,4998,72,2,233,172,29
23959,16,9/21/2020,9/24/2020,4178,10,2,50,40,37
24680,32,9/21/2020,9/30/2020,2161,27,1,60,54,27
24826,11,9/21/2020,9/22/2020,1402,10,1,200,140,35
25349,18,9/21/2020,9/27/2020,6095,100,2,83,70,12
25493,48,9/21/2020,9/22/2020,1039,89,2,60,54,9
25596,43,9/21/2020,9/26/2020,4479,10,1,65,52,10
26052,52,9/21/2020,9/29/2020,2852,25,2,83,66,1
26173,21,9/21/2020,9/26/2020,658,28,2,67,40,35
26324,50,9/21/2020,9/28/2020,6193,41,1,60,54,29
26941,39,9/21/2020,9/30/2020,3062,49,2,73,36,43
27011,39,9/21/2020,9/24/2020,4692,95,2,333,259,23
29425,42,9/21/2020,9/30/2020,4370,87,1,83,53,25
20351,32,9/20/2020,9/22/2020,3889,23,2,100,83,6
21343,48,9/20/2020,9/24/2020,6286,1,1,83,70,42
24067,42,9/20/2020,9/23/2020,3716,46,1,83,70,40
24152,45,9/20/2020,9/22/2020,4651,17,2,97,67,34
25116,30,9/20/2020,9/30/2020,1213,31,1,65,52,26
25172,29,9/20/2020,9/29/2020,3202,68,1,40,36,11
25359,31,9/20/2020,9/25/2020,4266,91,2,100,84,8
26151,35,9/20/2020,9/21/2020,6184,48,2,93,65,14
27284,51,9/20/2020,9/29/2020,251,35,2,91,77,41
28246,36,9/20/2020,9/21/2020,85,98,1,65,52,6
28553,19,9/20/2020,9/28/2020,5597,25,1,67,46,43
20124,42,9/19/2020,9/27/2020,5574,12,1,65,52,33
20687,37,9/19/2020,9/23/2020,5991,4,1,92,64,40
22195,36,9/19/2020,9/20/2020,1562,4,2,67,53,5
22234,43,9/19/2020,9/20/2020,4350,100,2,47,39,7
23291,52,9/19/2020,9/27/2020,4140,96,2,60,54,35
28654,34,9/19/2020,9/23/2020,1186,7,2,50,40,21
28885,46,9/19/2020,9/26/2020,2757,15,2,753,301,15
29658,47,9/19/2020,9/22/2020,898,31,2,91,77,34
29678,45,9/19/2020,9/26/2020,3240,83,1,73,36,12
20342,23,9/18/2020,9/26/2020,6101,96,2,753,301,10
21438,22,9/18/2020,9/26/2020,3958,72,1,73,36,7
23106,41,9/18/2020,9/18/2020,892,86,2,60,54,42
23330,52,9/18/2020,9/25/2020,5161,6,2,83,66,29
23843,50,9/18/2020,9/22/2020,2646,33,2,83,66,12
25783,18,9/18/2020,9/27/2020,5433,32,1,83,53,25
26124,54,9/18/2020,9/26/2020,5038,43,1,92,64,13
27402,39,9/18/2020,9/25/2020,2106,4,1,200,140,45
28138,44,9/18/2020,9/27/2020,2828,42,2,83,53,6
20149,53,9/17/2020,9/24/2020,5479,79,1,100,84,2
20745,43,9/17/2020,9/26/2020,3693,27,2,100,84,21
21396,37,9/17/2020,9/21/2020,3661,21,1,93,65,32
21407,51,9/17/2020,9/23/2020,1288,36,1,50,40,45
21871,19,9/17/2020,9/22/2020,2644,40,2,67,46,29
21974,44,9/17/2020,9/26/2020,5775,71,1,83,66,17
23026,17,9/17/2020,9/26/2020,366,59,2,91,77,10
23993,16,9/17/2020,9/21/2020,4032,90,2,233,172,29
25144,54,9/17/2020,9/20/2020,3779,19,1,50,40,31
25297,40,9/17/2020,9/17/2020,3954,12,1,83,70,26
26085,26,9/17/2020,9/26/2020,3302,61,1,83,53,37
26105,34,9/17/2020,9/27/2020,622,38,1,83,70,42
27549,55,9/17/2020,9/26/2020,5426,6,1,100,84,16
27992,17,9/17/2020,9/25/2020,2826,11,2,52,36,45
29071,50,9/17/2020,9/26/2020,1177,70,2,40,38,30
20207,52,9/16/2020,9/24/2020,3832,67,2,753,301,22
21173,43,9/16/2020,9/23/2020,5929,40,2,233,172,32
21850,16,9/16/2020,9/22/2020,3878,100,2,83,70,28
22411,50,9/16/2020,9/19/2020,1063,76,2,753,301,4
25004,36,9/16/2020,9/18/2020,6273,59,2,92,64,3
25816,19,9/16/2020,9/17/2020,4946,83,2,53,45,10
28208,37,9/16/2020,9/23/2020,2167,32,1,83,66,1
28353,19,9/16/2020,9/24/2020,5963,56,1,60,54,45
28647,13,9/16/2020,9/20/2020,3727,73,2,83,66,2
28669,41,9/16/2020,9/26/2020,4375,47,1,83,53,35
28992,46,9/16/2020,9/21/2020,2037,66,2,93,65,20
29161,49,9/16/2020,9/21/2020,2445,9,2,60,54,20
20910,48,9/15/2020,9/23/2020,4863,17,2,333,259,24
21778,48,9/15/2020,9/21/2020,5600,82,1,47,39,13
21913,22,9/15/2020,9/18/2020,1061,83,2,100,78,37
21986,18,9/15/2020,9/24/2020,5558,69,2,67,53,2
22149,20,9/15/2020,9/24/2020,3665,10,2,83,70,2
22698,34,9/15/2020,9/17/2020,4225,80,2,233,172,3
22944,13,9/15/2020,9/25/2020,816,26,1,233,172,18
23405,36,9/15/2020,9/19/2020,6249,23,1,40,36,42
23576,48,9/15/2020,9/19/2020,3833,96,1,53,45,6
25637,26,9/15/2020,9/25/2020,1417,5,1,92,64,1
26042,39,9/15/2020,9/22/2020,6501,85,2,83,66,13
27094,28,9/15/2020,9/22/2020,4912,87,1,50,40,17
27802,13,9/15/2020,9/18/2020,2404,16,2,73,36,3
29154,27,9/15/2020,9/21/2020,2895,39,1,65,52,7
29414,27,9/15/2020,9/18/2020,1891,58,2,83,66,19
29582,49,9/15/2020,9/23/2020,520,94,2,100,78,27
29838,46,9/15/2020,9/24/2020,5417,31,2,100,78,43
21550,53,9/14/2020,9/23/2020,5022,92,1,83,70,29
22262,12,9/14/2020,9/14/2020,5397,50,1,47,39,9
22413,25,9/14/2020,9/20/2020,42,34,2,65,52,28
23943,34,9/14/2020,9/19/2020,3544,7,1,67,53,38
25554,42,9/14/2020,9/19/2020,1705,39,1,92,36,7
28073,53,9/14/2020,9/18/2020,3704,94,1,200,140,10
28856,51,9/14/2020,9/15/2020,3880,27,2,97,67,32
20172,13,9/13/2020,9/16/2020,2983,60,1,60,54,21
20284,15,9/13/2020,9/15/2020,1908,21,1,83,66,40
22101,46,9/13/2020,9/21/2020,1221,92,1,67,46,33
23532,35,9/13/2020,9/20/2020,2343,10,2,83,70,13
23583,12,9/13/2020,9/23/2020,1404,24,1,83,70,12
23844,28,9/13/2020,9/21/2020,4345,36,2,83,66,15
24545,42,9/13/2020,9/21/2020,3506,33,1,753,301,31
27082,31,9/13/2020,9/14/2020,1870,86,1,52,36,2
27126,42,9/13/2020,9/17/2020,3853,8,1,40,36,36
27571,38,9/13/2020,9/22/2020,1165,79,2,52,36,8
28008,44,9/13/2020,9/22/2020,224,69,2,233,172,22
28796,51,9/13/2020,9/21/2020,4086,89,1,50,40,21
29158,23,9/13/2020,9/18/2020,5023,65,2,92,36,42
29295,49,9/13/2020,9/16/2020,1468,21,2,47,39,41
29760,33,9/13/2020,9/13/2020,6481,40,1,91,77,41
20086,54,9/12/2020,9/16/2020,2649,5,1,753,301,35
20116,13,9/12/2020,9/19/2020,392,37,2,92,64,44
20529,24,9/12/2020,9/16/2020,3940,46,1,40,38,33
20734,33,9/12/2020,9/13/2020,96,12,1,83,70,39
21307,32,9/12/2020,9/16/2020,1077,52,2,50,40,11
21787,48,9/12/2020,9/12/2020,5334,86,1,40,36,26
22442,38,9/12/2020,9/22/2020,3148,88,1,83,70,36
25159,37,9/12/2020,9/14/2020,5088,44,2,67,53,7
25952,55,9/12/2020,9/14/2020,2241,31,2,40,36,44
26353,43,9/12/2020,9/21/2020,3641,65,2,333,259,9
26441,12,9/12/2020,9/22/2020,3332,4,2,52,36,10
27906,48,9/12/2020,9/19/2020,2726,5,2,65,52,21
28817,41,9/12/2020,9/14/2020,1169,92,1,83,53,18
29510,12,9/12/2020,9/21/2020,2392,19,1,100,83,43
20707,16,9/11/2020,9/15/2020,2601,34,2,53,45,16
21452,12,9/11/2020,9/17/2020,3534,24,2,53,45,26
21568,16,9/11/2020,9/15/2020,4490,52,1,67,53,36
21836,26,9/11/2020,9/14/2020,4228,39,1,83,66,24
21935,40,9/11/2020,9/14/2020,2586,33,2,93,65,5
23379,46,9/11/2020,9/21/2020,2358,47,2,83,70,42
23997,33,9/11/2020,9/18/2020,691,43,2,233,172,20
25055,11,9/11/2020,9/12/2020,2452,27,2,233,172,23
25577,36,9/11/2020,9/16/2020,2274,51,2,67,53,29
26519,41,9/11/2020,9/18/2020,6188,70,2,92,64,37
26793,15,9/11/2020,9/16/2020,6308,68,1,73,36,28
27540,20,9/11/2020,9/18/2020,1420,28,1,100,78,20
29446,40,9/11/2020,9/18/2020,3682,93,2,40,38,6
29914,15,9/11/2020,9/17/2020,3352,75,2,233,172,45
20441,25,9/10/2020,9/11/2020,4970,57,1,93,65,9
20591,38,9/10/2020,9/18/2020,1771,99,1,73,36,11
21772,34,9/10/2020,9/15/2020,3147,65,2,52,36,27
22337,53,9/10/2020,9/15/2020,2318,60,1,67,46,17
22403,17,9/10/2020,9/12/2020,2076,46,2,100,84,45
23020,39,9/10/2020,9/17/2020,227,35,1,100,83,16
24348,49,9/10/2020,9/15/2020,746,4,2,50,40,16
24434,23,9/10/2020,9/16/2020,5523,5,1,47,39,27
24599,16,9/10/2020,9/18/2020,3202,68,1,83,53,30
25059,55,9/10/2020,9/16/2020,4157,58,1,52,36,16
25221,29,9/10/2020,9/12/2020,3675,73,1,83,70,44
25707,48,9/10/2020,9/13/2020,6086,70,1,333,259,41
26264,15,9/10/2020,9/10/2020,1634,70,1,40,36,25
26393,32,9/10/2020,9/14/2020,224,69,1,100,78,27
27530,11,9/10/2020,9/14/2020,6067,8,2,83,66,11
27533,51,9/10/2020,9/17/2020,2148,49,2,333,259,13
28706,23,9/10/2020,9/14/2020,1534,11,1,91,77,27
28958,44,9/10/2020,9/18/2020,157,98,2,100,78,21
28981,18,9/10/2020,9/14/2020,4761,77,1,65,52,41
20040,12,9/9/2020,9/12/2020,3509,12,2,100,83,16
21337,31,9/9/2020,9/13/2020,1636,61,1,53,45,39
21922,21,9/9/2020,9/11/2020,3817,84,2,83,53,4
22164,25,9/9/2020,9/16/2020,5878,45,1,753,301,17
22633,52,9/9/2020,9/13/2020,5673,66,2,83,66,24
23417,48,9/9/2020,9/11/2020,6458,42,1,67,40,28
23818,11,9/9/2020,9/19/2020,4165,93,1,67,53,20
23915,22,9/9/2020,9/17/2020,5310,83,1,753,301,10
24751,26,9/9/2020,9/11/2020,1997,40,1,100,78,44
25777,43,9/9/2020,9/14/2020,1134,53,1,73,36,9
26212,51,9/9/2020,9/19/2020,546,30,1,92,36,6
27158,32,9/9/2020,9/14/2020,5161,6,2,53,45,43
27577,23,9/9/2020,9/12/2020,2503,28,1,47,39,42
29449,50,9/9/2020,9/16/2020,3585,23,1,100,83,15
29748,12,9/9/2020,9/12/2020,438,78,1,83,70,27
21385,39,9/8/2020,9/17/2020,2199,71,1,47,39,2
21485,41,9/8/2020,9/12/2020,4403,73,1,67,46,44
21675,18,9/8/2020,9/17/2020,5954,49,2,83,66,37
22763,27,9/8/2020,9/9/2020,1129,77,1,83,66,36
22794,53,9/8/2020,9/17/2020,5714,11,1,83,70,41
23111,16,9/8/2020,9/11/2020,6461,62,2,67,53,8
23907,47,9/8/2020,9/14/2020,5643,3,1,93,65,9
24092,21,9/8/2020,9/16/2020,2532,23,2,200,140,9
24708,34,9/8/2020,9/16/2020,5134,14,1,200,140,26
24962,46,9/8/2020,9/10/2020,550,90,1,200,140,26
27473,54,9/8/2020,9/17/2020,1650,74,2,52,36,16
27520,55,9/8/2020,9/12/2020,244,16,1,40,38,23
27954,27,9/8/2020,9/8/2020,5489,93,2,83,53,11
27973,23,9/8/2020,9/15/2020,4709,91,2,83,66,33
28139,29,9/8/2020,9/8/2020,5093,15,1,67,46,9
28185,24,9/8/2020,9/17/2020,195,52,1,83,66,39
29269,33,9/8/2020,9/17/2020,295,67,2,200,140,12
21057,25,9/7/2020,9/14/2020,1063,76,2,753,301,11
21160,39,9/7/2020,9/10/2020,2495,39,1,40,38,16
21688,47,9/7/2020,9/7/2020,6082,52,1,53,45,45
25990,20,9/7/2020,9/10/2020,5600,82,1,67,46,11
26904,42,9/7/2020,9/15/2020,2161,27,2,83,53,45
27429,55,9/7/2020,9/14/2020,284,38,1,83,53,9
27590,29,9/7/2020,9/11/2020,4738,43,2,47,39,34
28387,38,9/7/2020,9/9/2020,270,1,2,83,70,34
28495,33,9/7/2020,9/7/2020,4090,74,2,65,52,4
20828,16,9/6/2020,9/14/2020,4904,53,2,53,45,14
21715,47,9/6/2020,9/12/2020,718,37,2,83,66,10
23365,13,9/6/2020,9/14/2020,266,24,2,100,83,36
24319,20,9/6/2020,9/6/2020,2081,26,2,200,140,25
24579,55,9/6/2020,9/7/2020,4547,86,1,100,78,34
25588,16,9/6/2020,9/11/2020,2892,34,2,60,54,27
26286,53,9/6/2020,9/13/2020,2713,40,1,67,40,2
27028,20,9/6/2020,9/16/2020,679,89,1,100,84,41
27933,35,9/6/2020,9/12/2020,4798,19,2,67,53,24
28249,49,9/6/2020,9/14/2020,6479,24,2,100,78,28
28680,42,9/6/2020,9/7/2020,5458,93,1,40,38,16
29785,28,9/6/2020,9/16/2020,1543,84,1,67,53,11
29932,47,9/6/2020,9/15/2020,2442,32,2,753,301,8
20412,51,9/5/2020,9/10/2020,2842,36,2,40,38,15
21278,52,9/5/2020,9/14/2020,5794,73,2,333,259,8
21614,30,9/5/2020,9/10/2020,5958,21,2,92,64,3
22823,21,9/5/2020,9/9/2020,5936,45,1,83,53,35
22976,37,9/5/2020,9/8/2020,5712,11,1,200,140,35
23260,17,9/5/2020,9/10/2020,2521,28,1,53,45,14
23995,13,9/5/2020,9/9/2020,5007,74,1,65,52,18
25038,52,9/5/2020,9/6/2020,4196,64,1,753,301,25
25938,20,9/5/2020,9/6/2020,4164,10,2,83,66,37
26021,16,9/5/2020,9/14/2020,86,86,1,73,36,14
26384,43,9/5/2020,9/7/2020,695,2,2,83,53,14
27146,15,9/5/2020,9/12/2020,3608,95,2,73,36,28
27206,15,9/5/2020,9/14/2020,4768,91,1,73,36,3
28509,20,9/5/2020,9/7/2020,3159,85,2,267,202,24
29604,26,9/5/2020,9/10/2020,5518,53,1,100,83,6
29679,54,9/5/2020,9/6/2020,1250,2,2,92,36,43
29706,24,9/5/2020,9/6/2020,4060,13,1,67,46,33
20567,23,9/4/2020,9/7/2020,3524,94,1,40,38,22
20892,26,9/4/2020,9/12/2020,353,61,2,267,202,39
25216,40,9/4/2020,9/12/2020,4587,21,1,83,70,19
25237,47,9/4/2020,9/8/2020,2796,59,2,83,66,2
26010,16,9/4/2020,9/7/2020,4579,60,1,65,52,13
26313,52,9/4/2020,9/13/2020,2020,44,2,233,172,11
27333,24,9/4/2020,9/6/2020,4308,68,1,91,77,41
27844,34,9/4/2020,9/7/2020,2079,23,2,100,83,31
28245,34,9/4/2020,9/13/2020,2203,18,2,91,77,6
29928,44,9/4/2020,9/13/2020,540,63,2,83,66,32
21001,35,9/3/2020,9/7/2020,3135,76,2,67,40,29
21927,26,9/3/2020,9/7/2020,5474,33,1,50,40,7
22423,42,9/3/2020,9/3/2020,2405,57,1,267,202,7
22727,44,9/3/2020,9/4/2020,1610,8,2,60,54,43
22953,40,9/3/2020,9/6/2020,3061,23,2,67,46,19
23369,45,9/3/2020,9/6/2020,5608,33,2,52,36,9
23659,43,9/3/2020,9/11/2020,3117,6,1,52,36,39
24953,31,9/3/2020,9/11/2020,1576,4,2,100,78,28
25295,52,9/3/2020,9/12/2020,3000,53,1,100,78,24
25663,50,9/3/2020,9/12/2020,1559,63,2,97,67,30
25719,26,9/3/2020,9/7/2020,2895,39,2,53,45,5
25947,48,9/3/2020,9/6/2020,5504,17,1,60,54,34
26566,23,9/3/2020,9/7/2020,6427,4,1,93,65,26
27119,22,9/3/2020,9/11/2020,4320,45,2,333,259,23
22071,42,9/2/2020,9/11/2020,4641,74,1,53,45,16
